Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

Cr261     9 2289          829 O Cr    0.07 0.17 
Cr261     9 2289          829 O Fe   -0.06 0.13 
Cr261     9 2289          829 O Mg    0.09 0.17 
Cr261     9 2289          829 O Mn   -0.02 0.16 
Cr261     9 2289          829 O Na    0.35 0.08 
Cr261     9 2289          829 O Ni   -0.03 0.19 
Cr261     9 2289          829 O Sc    0.16 0.14 
Cr261     9 2289          829 O Si    0.22 0.21 
Cr261     9 2289          829 O Ti   -0.06 0.22 
Cr261     9 2268          830 O Al    0.10 0.14 
Cr261     9 2268          830 O Ba    0.14 0.09 
Cr261     9 2268          830 O Ca   -0.01 0.09 
Cr261     9 2268          830 O Co    0.11 0.21 
Cr261     9 2268          830 O Cr   -0.06 0.19 
Cr261     9 2268          830 O Fe   -0.02 0.11 
Cr261     9 2268          830 O Mg    0.19 0.23 
Cr261     9 2268          830 O Mn    0.04 0.16 
Cr261     9 2268          830 O Na    0.22 0.03 
Cr261     9 2268          830 O Ni    0.02 0.16 
Cr261     9 2268          830 O Sc    0.06 0.13 
Cr261     9 2268          830 O Si    0.16 0.12 
Cr261     9 2268          830 O Ti   -0.20 0.20 
Cr261     9 2377          831 O Al    0.22 0.14 
Cr261     9 2377          831 O Ba    0.34 0.02 
Cr261     9 2377          831 O Ca   -0.04 0.08 
Cr261     9 2377          831 O Co    0.00 0.17 
Cr261     9 2377          831 O Cr   -0.02 0.19 
Cr261     9 2377          831 O Fe   -0.08 0.15 
Cr261     9 2377          831 O Mg    0.29 0.19 
Cr261     9 2377          831 O Mn   -0.07 0.10 
Cr261     9 2377          831 O Na    0.37 0.07 
Cr261     9 2377          831 O Ni    0.12 0.19 
Cr261     9 2377          831 O Sc    0.14 0.14 
Cr261     9 2377          831 O Si    0.31 0.18 
Cr261     9 2377          831 O Ti   -0.14 0.23 
Cr261     9 2307          832 O Al   -0.02 0.18 
Cr261     9 2307          832 O Ba    0.38 0.01 
Cr261     9 2307          832 O Ca   -0.04 0.16 
Cr261     9 2307          832 O Co    0.13 0.05 
Cr261     9 2307          832 O Cr   -0.10 0.15 
Cr261     9 2307          832 O Fe    0.01 0.16 
Cr261     9 2307          832 O Mg    0.13 0.16 
Cr261     9 2307          832 O Mn   -0.06 0.17 
Cr261     9 2307          832 O Na    0.38 0.08 
Cr261     9 2307          832 O Ni    0.00 0.17 
Cr261     9 2307          832 O Sc    0.14 0.16 
Cr261     9 2307          832 O Si    0.26 0.19 
Cr261     9 2307          832 O Ti   -0.19 0.21 
Cr261     9 2306          833 O Al    0.14 0.11 
Cr261     9 2306          833 O Ba    0.29 0.01 
Cr261     9 2306          833 O Ca    0.04 0.13 
Cr261     9 2306          833 O Co   -0.06 0.19 
Cr261     9 2306          833 O Cr    0.05 0.21 
Cr261     9 2306          833 O Fe    0.00 0.15 
Cr261     9 2306          833 O Mg    0.14 0.16 
Cr261     9 2306          833 O Mn   -0.05 0.14 
Cr261     9 2306          833 O Na    0.33 0.09 
Cr261     9 2306          833 O Ni    0.19 0.10 
Cr261     9 2306          833 O Sc    0.10 0.09 
Cr261     9 2306          833 O Si    0.23 0.17 
Cr261     9 2306          833 O Ti    0.03 0.23 
Cr261    10 2268         1004 I Ba    0.02 0.08 
Cr261    10 2268         1004 I Ca    0.08 0.06 
Cr261    10 2268         1004 I Fe    0.00 0.03 
Cr261    10 2268         1004 I Mg    0.07 0.06 
Cr261    10 2268         1004 I Mn    0.01 0.04 
Cr261    10 2268         1004 I Na    0.28 0.08 
Cr261    10 2268         1004 I Ni   -0.08 0.05 
Cr261    10 2268         1004 I Si    0.23 0.05 
Cr261    10 2268         1004 I Zr    0.03 0.13 
Cr261    10 2277         1005 I Ba    0.04 0.08 
Cr261    10 2277         1005 I Ca   -0.08 0.06 
Cr261    10 2277         1005 I Fe   -0.01 0.03 
Cr261    10 2277         1005 I Mg    0.20 0.06 
Cr261    10 2277         1005 I Mn    0.00 0.04 
Cr261    10 2277         1005 I Na    0.16 0.08 
Cr261    10 2277         1005 I Ni   -0.10 0.05 
Cr261    10 2277         1005 I Si    0.23 0.05 
Cr261    10 2277         1005 I Zr    0.06 0.13 
Cr261    10 2285         1006 I Ba    0.01 0.08 
Cr261    10 2285         1006 I Ca   -0.02 0.06 
Cr261    10 2285         1006 I Fe    0.00 0.03 
Cr261    10 2285         1006 I Mg    0.13 0.06 
Cr261    10 2285         1006 I Mn   -0.07 0.04 
Cr261    10 2285         1006 I Na    0.11 0.08 
Cr261    10 2285         1006 I Ni   -0.01 0.05 
Cr261    10 2285         1006 I Si    0.13 0.05 
Cr261    10 2285         1006 I Zr    0.06 0.13 
Cr261    10 2288         1007 I Ba    0.00 0.08 
Cr261    10 2288         1007 I Ca    0.03 0.06 
Cr261    10 2288         1007 I Fe   -0.03 0.03 
Cr261    10 2288         1007 I Mg    0.22 0.06 
Cr261    10 2288         1007 I Mn   -0.04 0.04 
Cr261    10 2288         1007 I Na    0.03 0.08 
Cr261    10 2288         1007 I Ni    0.01 0.05 
Cr261    10 2288         1007 I Si    0.13 0.05 
Cr261    10 2288         1007 I Zr   -0.19 0.13 
Cr261    10 2289         1008 I Ba    0.04 0.08 
Cr261    10 2289         1008 I Ca    0.01 0.06 
Cr261    10 2289         1008 I Fe   -0.02 0.03 
Cr261    10 2289         1008 I Mg    0.11 0.06 
Cr261    10 2289         1008 I Mn    0.00 0.04 
Cr261    10 2289         1008 I Na    0.09 0.08 
Cr261    10 2289         1008 I Ni    0.02 0.05 
Cr261    10 2289         1008 I Si    0.20 0.05 
